time,exp5b_pdps_imu-Clip__exp5b_audio-L,exp5b_pdps_imu-Clip__exp5b_mpipe-L,exp5b_pdps_imu-Clip__exp5b_audio-R,exp5b_pdps_imu-Clip__exp5b_mpipe-R,exp5b_audio-L__exp5b_mpipe-L,exp5b_audio-L__exp5b_audio-R,exp5b_audio-L__exp5b_mpipe-R,exp5b_mpipe-L__exp5b_audio-R,exp5b_mpipe-L__exp5b_mpipe-R,exp5b_audio-R__exp5b_mpipe-R
0.0,,,,,,,,,,
0.5,,,,,,,,,,
1.0,,,,,,,,,,
1.5,,,,,,,,,,
2.0,,,,,,,,,,
2.5,,,,,,,,,,
3.0,,,,,,,,,,
3.5,,,,,,,,,,
4.0,,,,,,,,,,
4.5,,,,,,,,,,
5.0,,,,,,,,,,
5.5,,,,,,,,,,
6.0,,,,,,,,,,
6.5,,,,,,,,,,
7.0,,,,,,,,,,
7.5,,,,,,,,,,
8.0,,,,,,,,,,
8.5,,,,,,,,,,
9.0,,,,,,,,,,
9.5,,,,,,,,,,
10.0,,,,,,,,,,
10.5,,,,,,,,,,
11.0,,,,,,,,,,
11.5,,,,,,,,,,
12.0,,,,,,,,,,
12.5,,,,,,,,,,
13.0,,,,,,,,,,
13.5,,,,,,,,,,
14.0,,,,,,,,,,
14.5,,,,,,,,,,
15.0,,,,,,,,,,
15.5,,,,,,,,,,
16.0,,,,,,,,,,
16.5,,,,,,,,,,
17.0,,,,,,,,,,
17.5,,,,,,,,,,
18.0,,,,,,,,,,
18.5,,,,,,,,,,
19.0,,,,,,,,,,
19.5,,,,,,,,,,
20.0,,,,,,,,,,
20.5,,,,,,,,,,
21.0,,,,,,,,,,
21.5,,,,,,,,,,
22.0,,,,,,,,,,
22.5,,,,,,,,,,
23.0,,,,,,,,,,
23.5,,,,,,,,,,
24.0,,,,,,,,,,
24.5,,,,,,,,,,
25.0,,,,,,,,,,
25.5,,,,,,,,,,
26.0,,,,,,,,,,
26.5,,,,,,,,,,
27.0,,,,,,,,,,
27.5,,,,,,,,,,
28.0,,,,,,,,,,
28.5,,,,,,,,,,
29.0,,,,,,,,,,
29.5,,,,,,,,,,
30.0,,,,,,,,,,
30.5,,0.5005004260991462,,,,,,,,
31.0,,0.4989588764235857,,,,,,,,
31.5,,0.4843457062168328,,,,,,,,
32.0,,0.3282914310525294,,,,,,,,
32.5,,0.03430907978685968,,,,,,,,
33.0,,0.0025677026583469866,,,,,,,,
33.5,,0.0002485680429922703,,,,,,,,
34.0,,0.0005782182352070701,,,,,,,,
34.5,,,,,,,,,,
35.0,,,,,,,,,,
35.5,,,,,,,,,,
36.0,,,,,,,,,,
36.5,,,,,,,,,,
37.0,,,,,,,,,,
37.5,,,,,,,,,,
38.0,,,,,,,,,,
38.5,,,,,,,,,,
39.0,,,,,,,,,,
39.5,,,,,,,,,,
40.0,,,,,,,,,,
40.5,,,,,,,,,,
41.0,,,,,,,,,,
41.5,,,,,,,,,,
42.0,,,,,,,,,,
42.5,,,,,,,,,,
43.0,,,,,,,,,,
43.5,,,,,,,,,,
44.0,,,,,,,,,,
44.5,,,,,,,,,,
45.0,,,,,,,,,,
45.5,,,,,,,,,,
46.0,,,,,,,,,,
46.5,,,,,,,,,,
47.0,,,,,,,,,,
47.5,,,,,,,,,,
48.0,,,,,,,,,,
48.5,,,,,,,,,,
49.0,,,,,,,,,,
49.5,,,,,,,,,,
50.0,,,,,,,,,,
50.5,,,,,,,,,,
51.0,,,,,,,,,,
51.5,,,,,,,,,,
52.0,,,,,,,,,,
52.5,,,,,,,,,,
53.0,,,,,,,,,,
53.5,,,,,,,,,,
